CODICE;Geo Point;Geo Shape
13862;44.496526300516216, 11.295552243719312;"{""coordinates"": [11.295552243719312, 44.496526300516216], ""type"": ""Point""}"
15508;44.50207582703203, 11.2993986679089;"{""coordinates"": [11.2993986679089, 44.50207582703203], ""type"": ""Point""}"
16427;44.47171962190131, 11.338130442129492;"{""coordinates"": [11.338130442129492, 44.47171962190131], ""type"": ""Point""}"
16429;44.470865485313354, 11.360963795266235;"{""coordinates"": [11.360963795266235, 44.470865485313354], ""type"": ""Point""}"
16433;44.47043784248816, 11.362363280162345;"{""coordinates"": [11.362363280162345, 44.47043784248816], ""type"": ""Point""}"
16436;44.46301343600093, 11.359641969454676;"{""coordinates"": [11.359641969454676, 44.46301343600093], ""type"": ""Point""}"
16446;44.46217831253556, 11.358504723374448;"{""coordinates"": [11.358504723374448, 44.46217831253556], ""type"": ""Point""}"
16449;44.47060505303303, 11.36820340443201;"{""coordinates"": [11.36820340443201, 44.47060505303303], ""type"": ""Point""}"
16450;44.47010468980304, 11.368228910485918;"{""coordinates"": [11.368228910485918, 44.47010468980304], ""type"": ""Point""}"
16452;44.471549544586374, 11.368990434277364;"{""coordinates"": [11.368990434277364, 44.471549544586374], ""type"": ""Point""}"
16453;44.470882214666226, 11.368973193207088;"{""coordinates"": [11.368973193207088, 44.470882214666226], ""type"": ""Point""}"
16255;44.49011808113131, 11.323203616691222;"{""coordinates"": [11.323203616691222, 44.49011808113131], ""type"": ""Point""}"
16258;44.475597570506665, 11.372133289882221;"{""coordinates"": [11.372133289882221, 44.475597570506665], ""type"": ""Point""}"
16261;44.49084972079022, 11.319761326499664;"{""coordinates"": [11.319761326499664, 44.49084972079022], ""type"": ""Point""}"
16259;44.49097950627978, 11.320038435327866;"{""coordinates"": [11.320038435327866, 44.49097950627978], ""type"": ""Point""}"
16264;44.488621650255425, 11.324560467026513;"{""coordinates"": [11.324560467026513, 44.488621650255425], ""type"": ""Point""}"
16265;44.48849027919397, 11.324768942962523;"{""coordinates"": [11.324768942962523, 44.48849027919397], ""type"": ""Point""}"
